community,rent_area,lng,lat,sell_area,r/s
万立城(公寓),60.08306329,121.1817109,31.29062679,31438.22222,523.2459948
万立城（公寓）,31.9162338,121.1817109,31.29062679,31547,988.4311601
万航公寓,115.8749062,121.4383944,31.23213336,94175.85714,812.7372894
万航公寓,115.8749062,121.438112,31.232197,94175.85714,812.7372894
万航小区,104.4506688,121.429284,31.233346,69439.84211,664.8099326
万航渡后路85号,117.6470588,121.4314262,31.235275,84972,722.262
万航渡路1508号,136.4173312,121.4263422,31.2304346,75807,555.6991867
万航渡路190号,121.4285714,121.4474661,31.2314574,96286,792.9435294
万航渡路2490号,120.7377122,121.4125361,31.22570843,65843,545.339139
万航渡路2540号,106.6569201,121.412301,31.22518795,64044,600.4673673
万航渡路2544号,120.4306579,121.412289,31.225081,71621,594.7073713
万航渡路2546号,125.4246508,121.41225,31.22496793,67910,541.4406145
万航渡路433弄,138.1558572,121.4428567,31.23158361,102980,745.3900408
万航渡路713号,122.8683233,121.4384555,31.23350173,100990.5,821.9408982
万荣小区,87.35262626,121.443613,31.291496,56998.87143,652.5146852
万荣新苑,76.70991214,121.444997,31.29294,57335.57143,747.4336736
万荣阳光苑,65.41011352,121.447306,31.295619,69211,1058.108544
万象园,121.0861302,121.4172285,31.16825959,72325.36364,597.3051043
万豪公寓,92.19157973,121.486195,31.251888,59615.33333,646.6461851
万达城市公寓,100.6324609,121.330299,31.242103,54113,537.7290736
万邦都市花园,133.1199482,121.562126,31.208476,82323.46269,618.4156753
万邦都市花园,133.1199482,121.559261,31.207145,82323.46269,618.4156753
万都花园(普陀),87.8000882,121.414313,31.238984,67467.33333,768.4198811
万里一期,83.43950577,121.412793,31.276837,58527.22857,701.4330685
万里双子座,70.93556224,121.414435,31.269164,67191.25,947.2153019
万里名轩,103.3837625,121.416488,31.273549,59411.07143,574.6654021
万里晶品苑,81.48538,121.403697,31.274333,67541.22222,828.8753421
万里欣苑,84.52938831,121.4247483,31.26741884,68268.36364,807.6287431
万里真欣园,99.15906526,121.411114,31.274383,60794.625,613.102038
万里真金苑,109.6338561,121.412681,31.274158,57578.57143,525.1896949
万里雅筑,91.5159442,121.410248,31.271309,69772.42857,762.4073508
万隆花苑,23.44822369,121.4745539,30.92595216,29925.875,1276.253391
万顺公寓,61.88757091,121.5311027,31.28546973,56731,916.6784083
万顺水原墅(公寓),52.96858457,121.424834,31.049115,41035.40476,774.712126
万顺水原墅(别墅),39.47107904,121.422637,31.048725,53919,1366.038155
万顺水原墅（公寓）,52.12471767,121.4248353,31.04908714,42807,821.2418582
万顺水原墅（公寓）,52.12471767,121.424834,31.049115,42807,821.2418582
万顺苑,58.06411435,121.428579,31.050553,41680.76923,717.8404372
万馨佳园,84.16390176,121.6796547,31.19868237,46876.375,556.9653262
万龙新村,24.27640971,121.479408,30.92641216,27259,1122.859612
三义坊,137.0840783,121.449197,31.232607,97724.2,712.8778282
三乐新村,148.7891508,121.457548,31.244817,86133.8,578.8983912
三九大厦,63.16563967,121.4919074,31.29785253,52710.16667,834.4753088
三佳花苑,78.61248449,121.367676,31.161756,71276.24444,906.6784355
三佳苑,93.20527254,121.3571965,31.17241254,45915.84615,492.6314242
三元公寓,88.14627103,121.3317442,31.13363801,41713.61538,473.2317646
三元及地苑,62.14532329,121.3760233,31.26220092,61276,986.0114447
三元新村,34.18043082,121.1187545,31.15581488,32807.36364,959.828851
三八新村,34.06113805,121.7659158,31.05462218,34511.4,1013.219228
三八路110弄,24.24651372,121.765875,31.052194,28787.33333,1187.277217
三八路110弄,24.24651372,121.765729,31.05201,28787.33333,1187.277217
三兴大楼,93.24486653,121.467251,31.258167,69371.80952,743.9745704
