Z,长度,cy_count,人均消费_,data_point,r/s_均值,rent_area_,sell_area_,lng,lat
365,2105.848156,,,,,,,345590,3407011
1432,583.0439183,,,,,,,346590,3407011
1961,3670.33444,1,0,,,,,347590,3407011
7500,2858.52549,,,,,,,348590,3407011
6360,2504.448101,,,,,,,349590,3407011
6360,4437.220755,,,,,,,350590,3407011
4943,3906.239645,,,,,,,351590,3407011
4943,3228.549342,,,,,,,352590,3407011
0,2732.124675,,,,,,,353590,3407011
0,1769.17386,,,,,,,354590,3407011
362,1901.236819,,,,,,,320590,3408011
279,921.3842039,,,,,,,321590,3408011
143,3352.483234,,,,,,,322590,3408011
118,2107.899931,,,,,,,323590,3408011
365,1993.17069,,,,,,,324590,3408011
233,1192.563894,,,,,,,325590,3408011
276,6307.62796,6,0,,,,,326590,3408011
624,1421.678288,,,,,,,327590,3408011
552,1784.417866,,,,,,,328590,3408011
12,1327.917601,,,,,,,329590,3408011
340,642.8901846,,,1,819.9444857,17.82275132,14613.66667,330590,3408011
359,686.4731471,,,,,,,331590,3408011
350,5657.120597,,,,,,,332590,3408011
365,2030.923572,,,,,,,333590,3408011
365,1535.582696,,,,,,,334590,3408011
348,2518.031264,,,,,,,335590,3408011
336,902.026051,,,,,,,336590,3408011
362,16.32145951,,,,,,,337590,3408011
365,0,,,,,,,338590,3408011
365,1221.193397,,,,,,,339590,3408011
365,6046.214919,,,,,,,340590,3408011
345,4808.199149,,,,,,,341590,3408011
343,2435.105345,,,,,,,342590,3408011
343,1595.476178,,,,,,,343590,3408011
365,2644.175742,,,,,,,344590,3408011
365,5397.297338,,,,,,,345590,3408011
365,3025.912189,,,,,,,346590,3408011
294,6022.298625,,,,,,,347590,3408011
282,5328.893401,,,,,,,348590,3408011
5676,1298.804865,,,,,,,349590,3408011
10827,1893.576878,,,,,,,350590,3408011
8205,3718.148047,,,,,,,351590,3408011
6991,4568.942695,,,,,,,352590,3408011
2936,4905.776546,,,,,,,353590,3408011
0,1716.273131,,,,,,,354590,3408011
0,1844.974071,,,,,,,355590,3408011
0,408.7488139,,,,,,,356590,3408011
365,380.2491862,,,,,,,320590,3409011
365,1143.173435,,,,,,,321590,3409011
365,403.1902794,,,,,,,322590,3409011
365,3041.622594,,,,,,,323590,3409011
345,1381.301397,,,,,,,324590,3409011
316,1084.791518,,,,,,,325590,3409011
330,4065.944946,,,,,,,326590,3409011
230,3145.82935,,,,,,,327590,3409011
197,2027.088604,,,,,,,328590,3409011
297,892.0853161,,,,,,,329590,3409011
348,1351.768777,,,,,,,330590,3409011
282,2125.336271,,,,,,,331590,3409011
279,1794.869774,2,0,,,,,332590,3409011
365,4038.628591,,,,,,,333590,3409011
365,3920.956839,,,,,,,334590,3409011
340,4345.351948,1,0,,,,,335590,3409011
316,2092.462139,,,,,,,336590,3409011
316,121.8017799,,,,,,,337590,3409011
365,0,,,,,,,338590,3409011
365,1975.375212,,,,,,,339590,3409011
365,457.4170051,,,,,,,340590,3409011
2197,129.9193849,,,,,,,341590,3409011
1432,1197.605553,,,,,,,342590,3409011
233,2733.620925,,,,,,,343590,3409011
285,2446.432589,,,,,,,344590,3409011
305,445.954987,,,,,,,345590,3409011
348,4745.830427,,,,,,,346590,3409011
168,3248.068583,,,1,1469.936111,8.219178082,12081.66667,347590,3409011
127,3298.276487,,,,,,,348590,3409011
365,817.1521721,,,,,,,349590,3409011
2769,1113.717969,,,,,,,350590,3409011
10917,1237.5892,,,,,,,351590,3409011
1962,3827.636602,,,,,,,352590,3409011
11918,3847.974095,,,,,,,353590,3409011
3653,4632.406829,,,,,,,354590,3409011
0,1590.742499,,,,,,,355590,3409011
0,704.2013371,,,,,,,356590,3409011
0,948.1171535,,,,,,,357590,3409011
327,0,,,,,,,320590,3410011
359,587.2989809,,,,,,,321590,3410011
365,1742.442739,1,33,,,,,322590,3410011
335,2574.430676,,,,,,,323590,3410011
365,2991.965928,,,,,,,324590,3410011
352,1209.702294,,,,,,,325590,3410011
365,1008.448955,,,,,,,326590,3410011
365,1025.423112,,,,,,,327590,3410011
365,822.4931514,,,,,,,328590,3410011
365,178.8059053,,,,,,,329590,3410011
365,2245.706912,,,,,,,330590,3410011
365,1397.178074,,,,,,,331590,3410011
361,262.141586,,,,,,,332590,3410011
256,1753.728831,,,,,,,333590,3410011
247,2077.44167,,,,,,,334590,3410011
112,3293.854973,,,,,,,335590,3410011
330,2666.842254,,,,,,,336590,3410011
365,1483.412944,,,,,,,337590,3410011
365,347.8169733,,,,,,,338590,3410011
365,2737.9967,,,,,,,339590,3410011
4872,1382.028795,,,,,,,340590,3410011
3291,1275.654894,,,,,,,341590,3410011
2263,2557.244165,,,,,,,342590,3410011
329,3406.624192,,,,,,,343590,3410011
343,2161.120902,,,,,,,344590,3410011
287,2181.017509,,,,,,,345590,3410011
247,1284.034474,,,,,,,346590,3410011
346,2472.633808,,,,,,,347590,3410011
332,2358.757299,,,,,,,348590,3410011
365,2815.216131,,,,,,,349590,3410011
488,1145.277214,,,,,,,350590,3410011
421,1790.487338,,,,,,,351590,3410011
412,6358.519187,,,,,,,352590,3410011
3467,2472.614497,,,,,,,353590,3410011
2079,3304.842618,,,,,,,354590,3410011
0,2907.787161,,,,,,,355590,3410011
0,1408.39125,,,,,,,356590,3410011
0,4311.822265,2,0,,,,,357590,3410011
0,1781.137347,,,,,,,358590,3410011
0,0,,,,,,,360590,3410011
0,0,,,,,,,361590,3410011
0,0,,,,,,,362590,3410011
0,282.8093478,,,,,,,311590,3411011
0,99.21340728,,,,,,,312590,3411011
365,448.6726685,,,,,,,320590,3411011
365,268.9146658,,,,,,,321590,3411011
365,356.6735683,,,,,,,322590,3411011
365,1684.965176,,,,,,,323590,3411011
365,773.4531537,,,,,,,324590,3411011
365,565.8456871,,,,,,,325590,3411011
324,1159.636123,,,,,,,326590,3411011
365,1004.97573,,,,,,,327590,3411011
365,2505.0004,,,,,,,328590,3411011
365,1684.948067,,,,,,,329590,3411011
365,3168.735106,,,,,,,330590,3411011
365,2036.134141,,,,,,,331590,3411011
365,1926.866956,,,,,,,332590,3411011
364,1422.479734,,,,,,,333590,3411011
223,2475.305849,,,,,,,334590,3411011
334,974.8796909,,,,,,,335590,3411011
334,0,,,,,,,336590,3411011
365,0,,,,,,,337590,3411011
365,293.3457273,,,,,,,338590,3411011
365,2209.740876,,,,,,,339590,3411011
377,2015.185997,,,,,,,340590,3411011
166,1403.751547,,,,,,,341590,3411011
270,2992.257715,,,,,,,342590,3411011
365,2407.164954,,,,,,,343590,3411011
365,1822.482582,,,,,,,344590,3411011
365,1641.189561,,,,,,,345590,3411011
365,2375.33725,,,,,,,346590,3411011
365,2023.940969,1,18,,,,,347590,3411011
365,3693.086702,,,,,,,348590,3411011
477,599.2860203,,,,,,,349590,3411011
283,1480.125023,,,,,,,350590,3411011
487,251.5232892,,,,,,,351590,3411011
423,188.5372011,,,,,,,352590,3411011
488,2810.00972,,,,,,,353590,3411011
488,1587.965578,,,,,,,354590,3411011
284,1368.495815,,,,,,,355590,3411011
136,1508.677001,,,,,,,356590,3411011
16,7142.168761,,,,,,,357590,3411011
16,9779.608416,1,0,2,878.1156898,20.8915145,18345.16667,358590,3411011
16,3651.970994,,,3,1360.020828,23.27096714,31649,359590,3411011
0,3986.29139,,,1,1027.074865,19.46666605,19993.7234,360590,3411011
0,2744.504594,,,,,,,361590,3411011
0,1122.598257,,,,,,,362590,3411011
0,1596.438051,,,,,,,363590,3411011
0,1032.253916,,,,,,,364590,3411011
0,957.2116223,,,,,,,365590,3411011
0,0,,,,,,,366590,3411011
460,750.2951276,,,,,,,307590,3412011
0,0,,,,,,,308590,3412011
547,0,,,,,,,310590,3412011
547,79.93119686,,,,,,,311590,3412011
0,0,,,,,,,312590,3412011
335,346.0879755,,,,,,,321590,3412011
335,0,,,,,,,322590,3412011
365,718.9671715,,,,,,,323590,3412011
305,1978.052202,,,,,,,324590,3412011
361,2823.147293,,,,,,,325590,3412011
365,2398.195006,,,,,,,326590,3412011
365,543.5634449,,,,,,,327590,3412011
365,402.0686441,,,,,,,328590,3412011
365,1169.329965,,,,,,,329590,3412011
258,5992.453915,,,,,,,330590,3412011
305,3440.932898,,,,,,,331590,3412011
365,1845.87233,,,,,,,332590,3412011
353,918.0853955,,,,,,,333590,3412011
359,1080.140359,,,,,,,334590,3412011
365,225.5023564,,,,,,,335590,3412011
365,0,,,,,,,336590,3412011
365,429.0620964,,,,,,,337590,3412011
365,0,,,,,,,338590,3412011
365,63.06897902,,,,,,,339590,3412011
365,965.4373971,,,,,,,340590,3412011
362,2169.668204,,,,,,,341590,3412011
345,0,,,,,,,342590,3412011
365,2418.627438,,,,,,,343590,3412011
365,409.5132544,,,,,,,344590,3412011
365,2336.221612,,,,,,,345590,3412011
365,267.2329961,,,,,,,346590,3412011
488,1227.931944,,,,,,,347590,3412011
473,2500.625253,,,,,,,348590,3412011
460,3480.424113,,,,,,,349590,3412011
245,1585.752822,,,,,,,350590,3412011
345,79.89944584,,,,,,,351590,3412011
